URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://fhir.nmdp.org/ig/cibmtr-reporting/ValueSet/patient,0.1.12,draft,,Patient,CIBMTR Patient Ancestry Value Set,"US Core Race Categories (Intensional).  1. This value set is used by me",,"LOINC"
http://fhir.nmdp.org/ig/cibmtr-reporting/ValueSet/platelet-morphology-blood-vs,0.1.12,draft,,PlateletMorphologyBloodVS,Platelet morphology panel - Blood (58406-0),"Platelet morphology panel - Blood (58406-0)","ValueSet/smear-morphology-blood-vs","LOINC"
http://fhir.nmdp.org/ig/cibmtr-reporting/ValueSet/presence-valueset,0.1.12,draft,,PresenceValueSet,Presence Answer List,"Permissible values for presence",,"SCT,LOINC"
http://fhir.nmdp.org/ig/cibmtr-reporting/ValueSet/smear-morphology-blood-vs,0.1.12,draft,,SmearMorphologyBloodVS,Smear morphology panel - Blood (34994-4),"Smear morphology panel - Blood (34994-4)","ValueSet/manual-differential-blood-vs","LOINC"
http://fhir.nmdp.org/ig/cibmtr-reporting/ValueSet/snomed-myelodysplastic-diseases-vs,0.1.12,draft,,SNOMEDMyelodysplasticDiseasesVS,SNOMED Myelodysplastic Diseases,"The myelodysplastic syndromes (MDS) are a group of clonal hematopoietic stem cell diseases characterized by cytopenia(s), dysplasia (abnormal growth or development leading to an alteration in size, shape, and organization of the cell) in one or more of the major myeloid cell lines (WBC, RBC, and/or platelets), ineffective hematopoiesis, and an increased risk of developing acute myelogenous leukemia (AML). MDS occurs primarily in older adults, with a median age of 70 years. The majority of recipients present with symptoms related to cytopenias. Most recipients present with anemia requiring RBC transfusions.",,"SCT"
http://fhir.nmdp.org/ig/cibmtr-reporting/ValueSet/vital-signs,0.1.12,draft,,VitalSigns,CIBMTR Vital Signs Value Set,"CIBMTR Vital Signs Value Set",,"LOINC"
http://hl7.org/fhir/ValueSet/additional-instruction-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.95",SNOMEDCTAdditionalDosageInstructions,SNOMED CT Additional Dosage Instructions,"This value set includes all SNOMED CT Additional Dosage Instructions.","StructureDefinition/cibmtr-medication-request,StructureDefinition/cibmtr-medications","SCT"
http://hl7.org/fhir/ValueSet/address-type,4.0.1,active,"2.16.840.1.113883.4.642.3.69",AddressType,AddressType,"The type of an address (physical / postal).","StructureDefinition/cibmtr-patient","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/address-use,4.0.1,active,"2.16.840.1.113883.4.642.3.67",AddressUse,AddressUse,"The use of an address.","StructureDefinition/cibmtr-patient","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/administration-method-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.97",SNOMEDCTAdministrationMethodCodes,SNOMED CT Administration Method Codes,"This value set includes some method codes from SNOMED CT - provided as an exemplar","StructureDefinition/cibmtr-medication-request,StructureDefinition/cibmtr-medication-administration,StructureDefinition/cibmtr-medications","SCT"
http://hl7.org/fhir/ValueSet/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.3.1",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","StructureDefinition/cibmtr-patient","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/approach-site-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.346",SNOMEDCTAnatomicalStructureForAdministrationSiteCodes,SNOMED CT Anatomical Structure for Administration Site Codes,"This value set includes Anatomical Structure codes from SNOMED CT - provided as an exemplar.","StructureDefinition/cibmtr-medication-request,StructureDefinition/cibmtr-medication-administration,StructureDefinition/cibmtr-medications","SCT"
